2025-08-09 04:32:05,880 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:32:05,881 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:32:05,881 | INFO | core.document_processor | Document Processor initialized
2025-08-09 04:32:06,697 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:32:06,699 | INFO | src.core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:32:34,375 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:32:42,881 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:32:50,390 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:32:55,290 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:33:04,184 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:33:13,908 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:34:43,670 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:34:43,671 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:34:43,671 | INFO | core.document_processor | Document Processor initialized
2025-08-09 04:34:44,488 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:34:44,490 | INFO | src.core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:35:22,691 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:35:32,821 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:35:41,107 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:35:46,069 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:35:55,180 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:36:05,145 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:41:45,591 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:41:45,592 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:41:45,592 | INFO | core.document_processor | Document Processor initialized
2025-08-09 04:42:12,488 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:42:22,801 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:42:31,935 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:43:09,320 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:43:20,653 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:43:32,787 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:48:24,136 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:48:24,138 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:48:24,138 | INFO | core.document_processor | Document Processor initialized
2025-08-09 04:48:24,981 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:48:24,984 | INFO | src.core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:48:55,544 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:49:04,130 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:49:12,590 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:49:18,084 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:49:28,188 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:49:39,382 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:50:00,962 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:50:10,167 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:50:18,321 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:50:27,614 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:50:37,612 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:56:58,566 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:56:58,568 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:56:58,569 | INFO | core.document_processor | Document Processor initialized
2025-08-09 04:56:59,360 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:56:59,362 | INFO | src.core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 04:57:28,931 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:57:49,985 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:57:58,473 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:58:06,457 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:58:37,792 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:58:46,845 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 04:58:56,831 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:03:21,161 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:03:21,162 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 05:03:21,162 | INFO | core.document_processor | Document Processor initialized
2025-08-09 05:03:21,999 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:03:22,001 | INFO | src.core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 05:03:51,961 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:04:00,363 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:04:07,880 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:04:12,722 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:04:22,405 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:04:32,478 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:07:03,798 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:07:03,799 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 05:07:03,800 | INFO | core.document_processor | Document Processor initialized
2025-08-09 05:07:04,641 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:07:04,643 | INFO | src.core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 05:07:31,210 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:07:39,781 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:07:47,233 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:07:52,088 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:08:00,914 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:08:10,584 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:13:32,145 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:13:32,145 | INFO | core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 05:13:32,145 | INFO | core.document_processor | Document Processor initialized
2025-08-09 05:13:32,958 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:13:32,960 | INFO | src.core.ollama_document_analyzer | Ollama LLM ready for document analysis
2025-08-09 05:13:48,149 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:14:16,562 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
2025-08-09 05:14:30,579 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
